POA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA4207,268,8,0,3,0,286,110,13,0,0,0,124,116,10,0,0,0,124,221,18,11,0,0,246,283,26,13,0,0,326,985,103,20,3,0,1113,1411,54,8,0,3,1478,1539,36,3,0,3,1580,585,0,0,0,0,585,334,7,0,0,0,343,152,3,0,0,0,155,293,8,0,0,0,305,6306,282,65,7,10,6669
POA4208,68,3,0,0,0,68,22,0,0,0,0,22,23,0,0,0,0,23,50,4,0,0,0,54,94,3,0,0,0,95,261,17,11,0,0,282,387,26,7,0,0,418,916,31,0,0,4,949,429,0,0,0,0,432,248,0,0,0,0,248,102,0,0,0,0,101,110,3,0,0,0,117,2694,88,19,3,4,2809
POA4209,122,8,0,0,0,127,42,6,0,0,0,54,45,10,0,0,0,50,73,14,0,0,0,82,111,21,0,0,0,132,375,99,0,0,0,479,685,176,0,0,3,858,1529,98,0,0,5,1633,766,22,0,0,0,787,486,6,0,3,0,499,190,3,0,0,0,200,187,14,0,0,0,196,4608,474,4,4,9,5104
POA4210,94,15,0,0,0,117,42,9,0,0,0,46,18,10,0,0,0,36,63,24,0,0,0,87,84,22,0,0,0,106,239,129,0,0,3,367,424,102,0,0,0,525,883,52,0,0,0,942,469,7,0,0,0,478,325,3,0,0,0,327,117,0,0,0,0,117,148,19,0,0,0,165,2904,399,6,3,0,3310
POA4211,275,46,13,0,0,334,116,16,3,0,0,145,113,17,4,0,0,132,193,29,11,3,0,232,298,55,5,0,0,361,845,217,35,0,0,1097,1298,270,40,0,4,1607,2292,178,33,0,0,2505,1084,42,8,0,3,1137,551,33,4,0,0,591,259,15,0,0,0,278,327,46,7,0,0,374,7645,971,168,12,10,8799
POA4212,143,23,6,0,0,167,56,7,4,0,0,66,32,3,0,0,0,40,66,12,5,0,0,84,121,27,11,0,0,156,297,69,21,7,0,395,398,106,19,0,0,532,781,64,39,0,0,893,465,19,9,3,0,502,397,15,15,4,0,431,362,10,0,0,0,369,145,20,8,0,0,172,3266,378,133,18,11,3802
POA4213,207,7,0,0,0,216,64,8,0,0,0,73,53,6,0,0,0,61,116,9,0,0,0,132,148,11,0,0,0,158,477,49,0,0,0,532,602,63,7,3,0,673,1077,36,3,0,0,1116,636,8,0,0,3,647,489,6,0,0,0,498,213,0,0,0,0,216,217,8,3,0,0,228,4308,214,19,3,8,4552
POA4214,192,19,5,0,0,214,92,8,3,0,0,104,80,10,3,0,0,88,124,21,4,0,0,155,162,29,7,0,0,200,525,94,23,0,0,649,659,106,26,0,0,790,1190,76,19,0,3,1280,535,16,3,0,0,553,340,7,0,0,0,349,158,0,0,0,0,161,185,16,3,0,0,210,4243,410,92,3,5,4746
POA4215,89,104,51,0,0,245,32,43,22,0,0,98,19,33,16,0,0,73,56,75,32,0,0,171,75,94,49,0,0,220,226,343,218,0,7,788,278,347,188,3,11,827,474,239,148,0,3,864,200,57,53,0,4,307,103,44,39,0,0,192,62,20,25,0,0,113,86,67,38,0,0,191,1706,1467,886,3,23,4093
POA4216,126,47,37,0,0,211,40,35,10,0,0,80,23,23,4,0,0,53,60,57,32,0,0,149,73,59,25,3,0,161,212,179,104,0,0,494,340,216,108,0,0,668,553,154,121,0,4,828,292,69,41,0,0,396,275,64,32,0,0,374,274,34,28,0,0,338,121,40,30,0,0,192,2378,975,582,7,6,3949
