POA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA4036,3,13,75,1204,675,108,16,26,2130,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,106,0,0,0,101,0,0,0,0,106,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,4,3,21,75,1308,686,108,16,31,2243
POA4037,0,4,29,509,1428,337,56,25,2382,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,518,1428,337,56,26,2396
POA4051,7,38,748,2596,1896,800,156,116,6352,0,23,108,14,4,0,0,6,149,0,49,338,613,18,0,0,11,1030,0,70,452,620,25,3,0,19,1184,14,340,632,156,10,3,0,28,1188,3,111,882,96,3,0,4,26,1124,21,35,101,23,0,0,0,4,191,0,0,0,0,0,0,0,0,3,45,485,1613,282,15,5,6,59,2504,0,0,3,3,3,0,0,0,10,0,7,10,9,0,0,3,76,101,53,599,2824,3503,1935,800,163,262,10144
POA4053,6,64,902,6721,4322,968,155,185,13325,0,38,112,31,8,0,0,12,197,0,88,440,704,36,0,0,31,1297,0,121,554,735,39,0,0,37,1492,9,116,434,153,4,0,0,20,743,13,194,517,38,0,0,0,22,775,3,22,14,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,25,333,964,194,4,0,0,40,1558,0,0,0,0,0,0,0,0,3,0,5,14,14,9,0,0,38,77,30,525,2433,7659,4377,972,153,298,16449
POA4054,0,12,214,2511,1339,232,35,74,4411,0,5,88,28,0,0,0,10,143,0,0,138,182,0,0,0,23,349,0,14,228,214,3,0,0,38,491,0,10,41,61,3,0,0,4,121,0,0,0,0,0,0,0,0,3,0,0,9,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,8,49,71,7,0,0,5,146,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,6,9,37,488,2796,1348,233,35,112,5058
POA4055,0,11,78,2487,2918,640,101,58,6288,0,7,89,11,0,0,0,0,102,0,0,54,27,14,0,0,0,95,0,3,140,35,18,0,0,0,201,0,0,91,75,30,4,3,3,207,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,72,30,4,3,3,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,319,2594,2965,644,105,64,6708
POA4059,0,42,339,1021,546,211,66,55,2291,0,5,3,0,0,0,0,0,14,0,38,101,146,21,9,8,9,327,0,42,104,141,20,7,8,8,343,16,213,223,46,23,10,7,15,541,3,127,328,45,0,3,4,11,530,30,468,580,122,9,0,3,40,1250,0,0,0,0,0,0,0,0,3,47,806,1134,219,28,17,16,62,2326,0,0,0,0,0,0,0,0,3,0,4,9,5,0,0,4,4,24,54,896,1589,1387,597,233,92,139,4988
POA4060,3,32,350,1218,1084,551,108,62,3414,0,3,6,0,3,0,0,0,9,0,5,25,30,3,0,0,5,63,0,11,24,32,5,0,0,3,74,0,73,188,79,5,0,0,13,364,0,12,308,66,11,3,3,9,404,0,0,81,18,0,0,0,0,101,0,0,0,0,0,0,0,0,0,4,85,577,161,13,4,3,21,870,0,6,3,0,0,0,0,3,15,0,3,4,4,6,0,0,19,32,6,134,959,1415,1104,555,109,106,4399
POA4061,7,20,142,2203,2161,593,126,42,5289,0,0,4,34,0,0,0,0,37,0,0,59,136,16,0,0,4,217,0,0,64,169,20,0,0,8,252,0,0,0,9,3,0,0,0,10,0,0,5,26,0,0,0,0,32,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,45,3,0,0,3,50,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,12,7,18,206,2415,2186,595,126,55,5611
POA4064,7,30,330,1015,720,245,70,52,2455,3,9,0,0,0,0,0,0,13,8,32,164,158,15,0,0,0,370,13,35,164,159,15,0,0,0,387,12,160,144,34,10,3,3,6,370,10,61,271,57,3,0,0,7,408,3,160,243,77,0,0,0,4,492,0,0,0,0,0,0,0,0,3,19,383,663,168,15,3,6,18,1270,0,8,6,3,5,0,0,0,31,0,3,3,0,0,0,0,3,14,36,460,1166,1348,750,252,72,76,4150
