POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA4704,0,0,0,0,0,3,3,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,0,0,16,3,5,12,16,17,24,23,5,0,110
POA4705,0,0,0,0,0,3,5,9,0,18,0,0,0,0,0,0,0,0,0,3,0,0,9,10,16,6,10,0,0,46,9,26,52,43,74,36,26,19,0,284
POA4706,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,12,6,3,8,8,21,22,20,0,0,83
POA4707,3,0,0,0,0,15,14,7,3,34,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,8,3,0,17,5,10,13,24,29,61,43,24,3,213
POA4709,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,4,3,47,34,23,16,0,0,0,129,18,30,244,213,139,82,8,5,0,739
POA4710,3,4,4,12,10,25,100,76,34,258,0,0,0,0,0,3,0,0,0,3,20,10,42,56,60,67,81,59,66,468,126,231,486,531,612,689,577,322,150,3726
POA4711,0,0,0,3,3,10,32,20,3,76,0,0,0,0,0,0,0,0,0,0,11,13,13,18,29,20,23,3,0,125,96,106,144,250,329,262,151,49,7,1404
POA4712,0,0,0,0,4,6,9,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,6,0,30,7,8,40,29,37,45,33,17,4,217
POA4713,3,0,3,10,8,16,17,4,0,59,0,0,0,0,0,0,0,0,0,3,7,21,3,5,9,12,3,0,0,55,54,113,120,104,105,72,29,4,0,608
POA4714,0,0,6,14,26,67,125,75,27,348,0,0,0,3,4,0,6,4,3,18,17,12,29,22,36,59,67,39,18,314,77,126,247,288,415,520,463,201,71,2399
POA4715,4,5,42,36,31,39,121,127,58,472,3,3,3,3,4,4,0,4,3,29,33,40,76,94,79,68,49,46,13,494,237,435,1008,1031,941,743,452,283,106,5235
POA4716,0,0,0,0,0,6,26,20,8,67,0,0,0,0,0,0,0,0,0,0,3,3,8,4,11,14,11,0,3,62,24,32,86,116,129,134,80,42,11,667
POA4717,0,0,9,10,21,39,31,4,0,106,0,0,0,7,3,0,3,0,0,10,20,43,150,104,95,61,26,0,0,511,125,359,981,789,648,382,117,16,4,3418
POA4718,0,0,0,0,5,22,50,25,4,108,0,0,0,0,0,0,0,0,0,6,9,9,63,54,42,38,12,12,4,245,58,127,411,364,289,277,156,65,13,1753
POA4719,0,0,0,0,0,16,24,20,6,70,0,0,0,0,0,0,0,3,0,4,3,3,18,18,22,14,18,14,5,103,24,54,151,118,141,132,108,62,13,803
POA4720,4,3,11,12,32,63,94,67,25,304,0,4,3,0,3,3,7,0,3,28,121,126,314,298,301,174,65,32,16,1452,491,963,2438,2165,1965,1334,514,195,64,10121
POA4721,3,3,0,0,9,18,66,49,27,173,0,0,0,0,0,0,0,0,0,7,24,30,65,85,58,62,51,20,7,406,111,212,567,525,436,413,301,121,54,2736
POA4722,0,0,3,0,10,14,31,32,13,104,0,0,0,0,0,0,0,0,0,4,8,8,43,40,37,30,21,10,4,200,40,81,270,251,278,253,120,72,34,1393
POA4723,0,0,0,0,12,9,29,8,0,51,0,0,0,0,0,0,0,0,0,0,8,16,27,30,36,19,14,9,5,160,35,104,218,170,195,171,103,35,4,1027
