POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA4744,9,52,105,80,79,34,9,0,0,371,3,50,114,75,51,29,3,0,0,329,13,32,108,79,63,30,3,0,0,326,4,35,129,89,73,24,6,0,0,358,8,47,300,275,204,82,5,0,0,912,0,15,185,250,151,58,6,0,0,661,66,78,271,232,176,96,27,6,4,942,461,521,1807,1562,1127,592,145,14,8,6237
POA4745,0,15,26,28,25,19,0,0,0,113,3,11,30,25,34,10,0,0,0,120,3,15,26,26,28,16,0,0,0,120,3,14,22,26,27,20,0,0,0,114,0,11,76,91,49,42,0,0,0,278,0,0,31,40,44,16,3,0,0,137,32,59,180,108,100,58,8,0,0,554,144,216,587,473,422,268,69,14,4,2198
POA4746,0,17,23,19,22,16,0,0,0,93,0,11,26,14,14,15,0,0,0,76,0,4,27,20,13,5,3,0,0,71,0,6,29,28,27,13,0,0,0,103,0,13,70,82,41,15,3,0,0,226,0,3,48,47,31,14,3,0,0,143,9,19,79,52,39,26,0,4,0,220,80,111,452,356,234,143,17,4,0,1393
POA4750,0,22,80,78,85,68,22,0,0,354,0,14,53,63,68,42,9,3,0,248,0,3,41,70,96,57,7,0,0,270,0,3,45,54,63,25,5,0,0,197,0,8,69,103,93,46,7,0,0,333,0,0,26,40,38,19,8,0,0,126,26,21,63,87,75,43,33,12,0,358,378,284,761,868,902,604,339,104,15,4265
POA4751,3,20,68,69,83,57,18,4,0,328,0,17,56,41,56,47,8,3,0,225,0,10,46,50,44,35,3,0,0,197,0,7,27,24,30,24,3,0,0,111,3,3,74,57,68,37,3,0,0,250,0,0,23,33,45,14,4,0,0,118,34,23,54,58,71,66,38,20,8,368,294,269,618,564,703,582,349,135,38,3557
POA4753,3,17,63,54,49,24,9,0,0,223,0,15,60,31,44,31,5,0,0,186,0,3,45,63,48,32,0,0,0,187,0,5,47,40,36,21,0,0,0,154,0,12,103,83,54,22,0,4,0,284,0,0,33,31,33,16,3,0,0,108,31,14,66,71,61,51,10,10,3,311,278,231,717,643,566,380,192,84,16,3115
POA4754,0,12,39,24,27,24,3,4,0,132,0,9,26,14,21,6,4,3,3,80,0,3,20,21,18,12,4,0,0,74,0,0,13,23,17,11,0,0,0,65,0,5,26,33,23,8,0,0,0,98,0,3,7,10,12,9,0,3,0,48,29,15,35,32,45,42,21,8,4,221,166,108,302,275,307,280,199,74,45,1759
POA4756,0,0,0,6,11,13,3,0,0,33,0,0,3,0,6,7,3,0,0,18,0,0,0,6,3,0,0,0,0,8,0,0,0,8,0,4,0,0,0,14,0,0,3,6,9,0,0,0,0,19,0,0,0,7,3,5,0,0,0,13,3,0,0,13,9,13,3,3,0,46,31,15,31,92,102,100,89,30,3,494
POA4757,0,0,0,0,4,5,3,3,0,15,0,0,0,3,4,5,0,0,0,14,0,0,0,0,6,0,0,0,0,6,0,0,0,0,3,0,0,0,0,8,0,0,4,3,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,3,6,15,7,4,4,0,48,13,5,18,25,76,71,45,18,0,274
POA4798,0,0,8,6,8,10,4,0,0,39,0,0,3,0,14,7,3,0,0,21,0,0,3,10,13,0,3,0,0,32,0,0,0,7,4,3,3,0,0,16,0,0,0,10,7,7,0,0,0,20,0,0,0,0,0,0,3,4,0,7,3,0,5,7,10,10,16,15,0,67,31,13,44,80,131,77,96,55,11,545
