POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA4342,5,7,22,426,513,248,231,404,320,2144
POA4343,104,52,224,1928,2090,980,924,2025,1399,9350
POA4344,15,13,50,387,567,231,265,377,248,2067
POA4345,0,0,0,135,27,3,3,139,18,323
POA4346,3,0,12,143,210,92,83,98,65,696
POA4347,0,3,12,161,254,143,96,197,118,967
POA4350,1096,839,2917,18432,23477,10680,8340,17087,8085,86097
POA4352,83,41,241,4576,6359,3252,2761,3186,1539,21676
POA4353,0,0,0,43,52,31,48,42,15,232
POA4354,3,0,17,190,225,119,132,183,89,942
POA4355,57,18,98,355,515,310,357,454,193,2182
POA4356,93,89,223,737,1003,476,514,823,536,4086
POA4357,11,34,62,312,429,262,264,421,418,2114
POA4358,3,4,10,337,465,273,221,240,195,1733
POA4359,3,0,8,214,272,138,129,160,90,1015
POA4360,0,0,0,74,144,67,74,81,31,474
POA4361,34,12,72,369,525,286,306,472,232,2187
POA4362,50,18,100,348,509,252,289,419,201,2011
POA4363,0,0,0,80,117,60,57,104,68,488
POA4364,0,0,0,46,38,30,19,24,8,167
POA4365,3,0,7,79,105,53,54,91,57,437
POA4370,206,75,440,2695,3757,2071,1897,3012,1363,14791
POA4371,4,3,14,83,151,83,95,111,55,588
POA4372,0,3,5,32,35,19,16,17,17,130
POA4373,32,6,48,155,211,98,113,199,86,867
POA4374,0,3,5,50,84,40,50,53,36,313
POA4375,0,0,3,34,39,25,19,50,13,178
POA4376,5,0,6,47,74,35,27,56,38,271
POA4377,6,0,6,78,137,54,70,90,24,453
POA4378,0,0,4,61,108,74,57,87,29,413
POA4380,116,39,249,1102,1647,931,908,1296,647,6522
POA4381,7,0,6,85,137,93,68,71,40,486
POA4382,3,0,3,55,123,75,58,71,47,428
POA4383,4,3,8,78,121,56,77,123,60,508
POA4384,0,0,0,13,3,5,6,13,7,49
POA4385,24,6,40,152,221,122,136,282,110,1025
POA4387,10,12,28,155,270,134,112,234,152,1056
POA4388,3,0,3,52,54,44,50,80,34,317
POA4390,68,29,135,1102,1306,605,527,1076,718,5329
POA4400,0,0,14,304,400,204,191,274,102,1473
POA4401,80,9,115,803,1051,541,548,1138,424,4500
POA4402,0,0,3,28,47,35,46,59,26,244
POA4403,4,3,11,105,151,68,75,143,72,616
POA4404,0,3,4,108,81,56,54,75,38,411
POA4405,127,51,266,2226,2847,1305,1307,2222,1222,11124
POA4406,0,0,16,220,253,163,153,198,153,1150
POA4407,0,0,0,88,86,50,61,100,51,439
POA4408,5,6,13,91,127,64,68,94,64,505
POA4410,27,8,41,179,203,123,129,205,115,951
POA4411,0,0,3,33,47,32,32,32,32,208
POA4412,0,0,0,45,42,19,21,21,8,152
POA4413,59,45,155,1181,1445,776,714,1056,950,6117
POA4415,20,20,53,283,395,163,160,305,246,1547
POA4416,0,0,4,90,88,44,43,69,61,397
POA4417,8,7,18,81,126,67,57,131,59,528
POA4418,0,0,0,21,27,12,12,13,6,93
POA4419,3,3,11,126,175,90,82,190,152,817
POA4420,24,3,33,162,238,98,126,224,95,948
POA4421,4,12,30,261,356,192,248,441,575,2073
POA4422,0,0,3,81,74,40,49,81,44,365
POA4423,0,0,0,35,41,15,16,21,11,153
POA4424,0,0,0,35,45,20,30,30,16,171
POA4425,0,0,4,22,40,20,27,38,23,163
POA4426,0,0,0,20,26,8,17,26,0,102
POA4427,0,0,5,45,52,33,36,51,80,294
POA4428,0,0,8,96,138,56,62,105,55,517
POA4454,4,3,11,89,131,57,63,135,98,579
POA4455,78,34,151,1339,1694,735,592,1357,853,6564
POA4461,0,0,0,8,11,4,3,6,5,50
POA4462,4,0,4,18,22,12,16,16,6,92
POA4465,13,0,22,172,249,116,119,256,87,991
POA4467,0,3,3,29,37,20,20,37,24,160
POA4468,3,0,5,38,57,22,30,52,16,215
POA4470,36,22,79,536,674,322,247,705,326,2809
POA4472,13,3,35,220,264,162,145,282,116,1185
POA4474,3,0,3,13,26,6,5,17,5,77
POA4475,0,0,0,0,0,0,0,0,0,0
POA4477,14,0,12,64,78,45,46,95,44,371
POA4478,0,0,5,78,99,49,45,88,28,383
POA4479,0,0,0,3,0,0,3,3,0,11
POA4480,3,0,9,122,148,54,67,146,59,599
POA4481,0,0,0,22,27,8,4,31,14,103
POA4482,0,0,0,36,28,14,9,38,8,131
POA4486,6,0,12,92,137,47,71,145,92,585
POA4487,19,7,42,478,605,276,237,569,237,2399
POA4488,3,0,6,36,45,27,28,35,23,202
POA4489,0,0,0,16,15,11,6,27,13,89
POA4490,13,6,26,206,285,115,107,297,129,1132
POA4491,0,0,0,17,29,9,12,6,6,81
POA4492,0,0,7,54,57,21,22,70,25,246
POA4493,0,0,0,0,3,0,0,10,5,23
POA4494,0,0,0,21,24,15,26,8,12,103
POA4496,0,0,0,55,39,20,28,35,21,197
POA4497,0,0,6,49,70,24,23,60,33,256
POA4498,0,0,0,32,46,26,20,34,17,166
POA4500,129,123,393,8182,9762,4093,3178,5922,1823,32951
POA4501,30,50,118,1031,1254,534,430,976,389,4607
POA4502,20,20,62,1625,2083,885,660,1089,396,6747
POA4503,276,157,605,7839,9666,3934,3270,6541,2399,33647
POA4504,34,10,79,3399,4263,1776,1407,2061,703,13600
POA4505,124,79,344,3604,4511,2144,1771,3281,1188,16505
POA4506,65,66,202,3640,4434,2014,1737,3626,1334,16787
POA4507,282,278,876,2675,3921,2364,1821,3725,1681,16183
POA4508,105,191,386,3109,3813,1676,1548,3698,1715,15562
