POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA4475,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4477,..,70,70,48,0,48,21,0,21,33,0,33,6,0,6,3,0,3,109,70,181
POA4478,..,52,52,77,0,76,23,0,27,25,0,25,13,0,13,3,0,3,132,57,186
POA4479,..,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
POA4480,..,106,106,89,5,98,31,0,31,30,0,30,17,0,17,9,0,9,175,108,285
POA4481,..,18,18,16,0,16,4,0,4,3,0,3,3,0,3,0,0,0,25,18,44
POA4482,..,11,11,16,0,18,6,0,9,3,0,8,5,0,5,0,0,0,26,14,44
POA4486,..,89,89,92,0,95,25,0,25,24,0,25,19,0,19,7,0,7,165,90,252
POA4487,..,284,284,355,20,381,137,5,142,142,0,142,83,0,83,40,0,40,769,312,1078
POA4488,..,34,34,43,3,44,19,0,19,3,0,3,5,0,5,3,0,3,70,30,106
POA4489,..,8,8,6,0,8,6,0,6,6,0,7,0,0,0,3,0,3,20,11,30
POA4490,..,205,205,182,18,197,70,0,74,41,0,41,22,0,22,15,0,15,336,221,561
POA4491,..,15,15,19,0,21,6,0,6,0,0,3,0,0,0,0,0,0,28,15,39
POA4492,..,37,37,41,3,48,18,0,18,7,0,7,4,0,4,5,0,5,77,41,115
POA4493,..,9,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7
POA4494,..,19,19,11,3,9,9,0,9,12,0,12,4,0,4,0,0,0,32,24,57
POA4496,..,35,35,25,0,28,12,0,12,13,0,13,12,0,12,3,0,3,63,36,100
POA4497,..,27,27,42,3,42,11,0,11,22,0,22,9,0,9,5,0,5,82,29,110
POA4498,..,13,13,30,0,29,12,0,12,7,0,7,7,0,7,5,0,5,57,15,75
POA4500,..,2219,2219,4225,311,4531,2577,81,2653,2792,13,2805,1216,3,1223,651,0,651,11457,2621,14081
POA4501,..,572,572,635,85,719,361,8,375,279,0,282,109,0,108,68,0,68,1456,671,2122
POA4502,..,505,505,983,71,1059,560,12,567,552,0,556,225,0,225,88,0,94,2406,593,2999
POA4503,..,3021,3021,4783,428,5210,2687,89,2777,2501,19,2517,1064,0,1066,599,0,599,11632,3564,15195
POA4504,..,528,528,1482,76,1553,1055,8,1068,1449,3,1460,629,0,629,319,0,319,4937,618,5554
POA4505,..,1317,1317,2304,122,2433,1114,25,1135,1203,9,1212,524,3,533,346,3,351,5498,1477,6973
POA4506,..,1114,1114,2150,202,2352,1329,52,1377,1194,16,1216,601,5,602,402,11,407,5673,1391,7065
POA4507,..,2640,2640,3523,219,3743,812,18,829,545,4,553,213,0,213,120,4,122,5210,2886,8097
POA4508,..,1560,1560,2050,207,2263,1105,35,1140,938,10,944,491,6,497,355,0,355,4939,1819,6761
