POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA4757,84,0,0,0,4,91,30,0,0,0,0,31,0,0,0,0,0,0,117,0,0,0,4,122
POA4798,166,0,0,7,0,169,71,0,0,0,0,77,4,0,0,0,0,4,240,3,0,9,0,252
POA4799,250,7,5,29,0,290,69,0,3,9,0,84,7,0,0,6,0,17,325,7,4,49,0,389
POA4800,2406,67,74,21,14,2586,462,46,47,5,7,568,97,10,12,8,25,158,2970,114,135,41,48,3303
POA4801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4802,1813,410,412,67,69,2769,168,108,115,19,11,415,63,21,24,11,8,115,2036,538,549,94,88,3300
POA4803,20,0,57,0,18,93,0,3,8,0,4,19,7,0,30,0,0,42,21,3,100,6,21,149
POA4804,434,9,0,8,4,454,164,3,0,0,4,172,19,3,0,0,0,17,619,12,3,7,11,646
POA4805,2459,121,112,78,18,2789,696,101,89,43,7,933,106,28,11,11,7,163,3261,250,216,129,29,3884
POA4806,996,3,16,30,3,1045,325,3,19,12,0,365,39,0,3,4,0,45,1358,14,41,43,6,1459
POA4807,2707,22,219,47,10,3002,827,11,235,24,5,1097,83,4,18,8,29,147,3617,33,472,77,39,4236
POA4808,339,0,0,4,0,341,76,0,7,0,0,82,5,0,0,0,0,6,420,0,7,4,0,428
POA4809,261,0,0,3,0,269,98,0,0,9,0,106,8,0,0,0,0,8,368,0,0,12,3,388
POA4810,3512,1223,2403,82,42,7264,542,458,416,26,3,1448,97,59,112,7,5,275,4155,1744,2935,110,58,8987
POA4811,3137,200,283,34,4,3662,493,61,73,13,6,650,87,9,10,3,0,106,3717,269,368,59,15,4419
POA4812,3938,1422,513,19,18,5911,736,609,235,13,6,1603,92,70,31,3,3,202,4763,2106,781,44,26,7713
POA4814,11712,822,311,14,9,12871,1335,508,113,8,7,1960,252,53,17,5,5,326,13294,1381,433,27,21,15158
POA4815,5489,153,70,3,3,5719,985,69,25,0,3,1086,155,37,6,0,5,199,6624,259,99,3,12,7001
POA4816,2094,59,22,84,32,2290,593,33,17,49,13,712,78,6,0,11,5,94,2768,100,42,145,52,3097
POA4817,8259,512,60,32,15,8880,807,220,27,18,3,1065,180,29,0,0,5,211,9251,758,87,49,22,10164
POA4818,7814,166,13,103,26,8128,808,42,6,58,5,923,196,11,0,4,13,221,8818,227,15,168,42,9274
POA4819,668,28,81,14,11,806,115,6,50,0,3,167,22,0,6,0,24,56,812,34,131,14,37,1024
POA4820,2510,5,65,48,7,2640,881,5,68,16,0,969,106,3,10,0,0,123,3498,10,144,69,8,3732
POA4821,219,112,8,0,10,348,90,35,0,0,5,132,17,10,0,0,0,23,328,150,4,0,16,504
POA4822,208,0,0,3,5,214,61,8,0,0,0,67,11,0,0,0,0,13,271,10,0,4,10,295
POA4823,194,5,0,6,12,215,53,4,3,4,8,64,4,0,0,0,0,12,252,10,3,9,15,288
POA4824,500,7,42,31,23,605,155,3,31,20,0,210,22,0,9,9,0,39,674,14,85,62,25,858
POA4825,3905,664,238,47,47,4899,737,212,90,18,16,1072,145,27,21,7,13,213,4778,913,352,75,73,6192
POA4828,25,0,0,11,5,37,10,0,0,0,0,15,8,0,0,6,0,14,42,3,0,14,5,64
POA4829,95,0,3,3,3,101,29,5,0,4,3,41,11,0,0,0,0,20,139,5,0,5,6,159
POA4830,154,8,14,13,0,185,108,3,22,7,0,133,9,18,0,0,3,34,265,28,42,18,3,356
POA4849,306,17,52,25,3,402,103,3,22,8,0,147,23,0,7,6,0,34,428,28,84,46,3,584
POA4850,2832,21,85,57,12,3007,969,24,115,21,3,1138,123,0,11,3,3,146,3923,47,215,82,23,4284
POA4852,958,34,103,31,8,1143,150,22,34,6,0,212,30,0,13,0,3,49,1143,60,145,38,12,1401
POA4854,1307,13,44,32,8,1404,416,15,41,16,3,491,47,4,3,13,0,61,1767,30,87,55,13,1955
POA4855,215,0,0,6,3,225,54,0,0,4,0,61,7,0,0,4,0,12,280,0,0,12,7,291
POA4856,181,0,0,8,0,185,67,0,0,3,0,66,10,0,0,0,0,10,259,0,0,8,0,267
POA4858,398,3,5,9,3,420,100,0,3,7,0,113,10,0,0,3,0,15,509,6,8,23,3,542
POA4859,138,0,0,0,0,140,41,0,3,0,0,42,7,0,0,0,0,7,186,0,4,0,0,192
POA4860,2553,57,199,78,28,2918,765,35,171,63,6,1040,91,9,18,7,0,135,3409,100,389,148,37,4087
POA4861,376,6,17,10,0,410,143,9,8,8,0,167,16,0,0,0,3,19,538,13,22,12,5,594
POA4865,2157,46,40,10,10,2259,341,32,18,4,0,400,60,4,0,3,3,70,2555,87,60,12,9,2727
POA4868,5297,431,495,43,6,6272,726,177,193,39,7,1143,159,28,49,3,0,245,6176,638,736,92,12,7660
POA4869,4711,62,180,28,12,4988,676,24,113,21,0,836,134,9,21,4,0,163,5524,90,316,55,20,5994
POA4870,13062,2097,5087,145,108,20496,1676,885,1545,57,30,4188,404,129,274,40,97,947,15142,3106,6905,245,234,25627
POA4871,2264,50,23,103,29,2462,714,17,26,83,9,855,97,0,5,68,13,177,3075,66,54,249,48,3497
POA4872,938,6,5,60,12,1017,311,0,17,46,5,375,45,0,0,9,0,55,1296,6,21,111,16,1450
POA4873,1596,37,63,40,43,1786,374,34,65,22,16,516,67,7,11,7,6,98,2038,82,147,70,63,2398
POA4874,801,312,32,23,0,1171,180,67,8,15,0,271,23,16,0,14,0,50,997,397,47,52,0,1492
POA4875,1076,80,67,7,0,1236,419,25,26,5,0,481,153,11,6,3,0,171,1649,120,107,17,0,1882
POA4876,439,35,16,23,0,514,103,10,4,12,0,129,23,3,3,12,4,41,566,47,21,46,4,688
