POA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4223,26,29,52,19,19,34,20,46,67,20,108,126,81,251,334,95,142,232,284,120,400,245,103,343,315,120,438,292,88,380,241,74,313,269,47,311,458,56,511,319,10,327,196,6,200,132,24,158,253,5,261,391,37,426,60,63,127,3713,1327,5040
POA4224,8,18,29,10,14,24,4,40,40,12,43,54,38,126,162,61,80,141,122,78,202,112,94,207,155,79,235,140,52,188,110,66,172,126,41,161,215,39,258,130,8,140,76,3,84,57,15,69,72,3,78,151,40,191,16,37,56,1619,869,2488
POA4225,6,43,51,7,21,24,17,83,99,6,119,124,55,286,342,53,167,222,153,149,307,129,155,285,186,154,334,153,84,232,117,80,198,124,61,182,180,75,258,99,21,119,53,3,55,40,41,81,97,8,106,149,59,209,35,81,115,1651,1693,3340
POA4226,99,88,188,39,36,77,56,103,154,60,170,232,178,427,611,216,273,490,619,208,834,538,230,770,722,241,959,737,157,893,570,130,698,629,81,709,1124,147,1268,787,43,832,422,36,459,330,78,404,579,15,596,789,91,880,103,127,238,8608,2676,11281
POA4227,63,136,196,25,31,59,48,86,136,28,136,166,115,224,338,152,141,294,350,150,500,339,184,521,491,183,670,491,119,611,409,108,513,370,81,449,751,112,864,489,36,520,321,14,334,206,27,232,371,8,381,530,87,614,58,62,117,5601,1928,7525
POA4228,4,3,12,3,3,6,5,15,22,6,13,19,24,41,66,25,20,41,64,16,77,60,16,81,90,19,105,104,14,120,70,10,78,69,4,68,184,14,195,128,0,125,99,0,104,64,3,67,149,0,156,153,9,163,22,8,31,1326,212,1537
POA4229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4230,9,6,18,7,0,9,3,8,10,3,12,16,11,26,34,12,19,34,49,28,76,44,24,70,56,22,78,61,15,78,28,24,52,36,16,48,67,11,78,35,4,38,22,0,22,6,3,11,21,0,18,36,10,42,8,9,15,496,242,737
POA4270,9,7,16,0,3,3,6,11,14,0,10,11,17,24,43,15,17,28,59,6,66,44,21,61,59,20,74,74,8,82,77,13,88,85,12,91,163,13,179,101,0,104,68,0,68,51,0,55,68,0,67,123,11,129,11,4,14,1012,191,1202
