POA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA4678,3,88,139,61,31,324,18,346
POA4680,786,5563,7740,2712,1225,18024,529,18548
POA4694,0,18,26,12,12,66,0,64
POA4695,8,113,145,69,52,383,12,394
POA4697,0,19,18,12,7,51,0,52
POA4699,3,35,66,30,19,150,3,155
POA4700,643,2352,2058,668,279,5999,291,6289
POA4701,1063,5398,5565,1904,934,14863,558,15416
POA4702,247,2564,3688,1572,1033,9107,370,9476
POA4703,397,2710,3088,1036,530,7755,369,8129
POA4704,0,16,20,7,9,53,0,53
POA4705,5,25,35,26,35,113,6,121
POA4706,0,11,10,3,4,30,4,36
POA4707,7,34,42,11,6,109,6,113
POA4709,3,42,155,65,8,268,10,283
POA4710,81,646,675,210,67,1680,114,1798
POA4711,8,70,206,132,122,537,13,544
POA4712,7,32,28,17,14,97,10,109
POA4713,119,78,28,3,0,233,12,245
POA4714,122,502,347,116,61,1153,61,1219
POA4715,120,639,916,402,229,2300,115,2415
POA4716,6,66,116,73,53,313,11,322
POA4717,59,462,570,205,100,1397,54,1454
POA4718,25,212,309,128,80,750,33,782
POA4719,19,118,116,54,61,365,23,388
POA4720,135,1302,1858,713,326,4333,166,4500
POA4721,35,350,440,172,157,1150,50,1209
POA4722,3,148,205,100,101,553,17,574
POA4723,17,112,164,86,68,438,13,458
POA4724,5,47,60,40,48,206,9,215
POA4725,24,208,189,82,63,555,23,584
POA4726,12,50,51,17,23,154,6,160
POA4727,0,24,30,20,10,84,4,96
POA4728,3,25,18,9,13,71,6,75
POA4730,80,414,407,158,93,1157,60,1212
POA4731,0,22,22,14,12,77,0,80
POA4732,0,19,18,3,3,51,4,54
POA4733,0,11,17,18,19,66,3,70
POA4735,32,150,128,42,20,373,32,409
POA4736,3,19,15,0,3,45,3,49
POA4737,113,766,1079,434,233,2620,174,2795
POA4738,9,89,166,70,59,397,14,405
POA4739,9,42,57,19,14,134,11,147
POA4740,1726,9512,11099,3776,1588,27695,1115,28809
POA4741,44,572,937,422,279,2251,132,2382
POA4742,11,74,110,49,40,288,18,301
POA4743,3,56,80,21,12,173,4,175
POA4744,56,708,1144,432,166,2500,85,2590
POA4745,25,220,347,122,57,778,32,812
POA4746,10,147,243,66,39,512,11,519
POA4750,53,564,867,286,113,1884,43,1930
POA4751,21,363,678,262,146,1471,68,1534
POA4753,22,277,635,249,102,1286,35,1319
POA4754,12,190,289,123,75,694,34,733
POA4756,5,80,87,37,15,226,17,243
POA4757,3,43,48,23,6,121,4,122
POA4798,7,69,109,42,21,239,9,252
POA4799,10,133,134,59,31,359,29,389
POA4800,135,971,1278,490,242,3119,181,3303
POA4801,0,0,0,0,0,0,0,0
POA4802,209,1280,1204,335,119,3146,160,3300
POA4803,55,37,12,8,0,107,42,149
POA4804,25,240,224,65,47,611,39,646
POA4805,218,1384,1394,455,216,3666,218,3884
POA4806,56,437,557,223,118,1398,60,1459
POA4807,295,1275,1565,596,286,4026,215,4236
POA4808,16,103,200,67,37,422,11,428
POA4809,10,100,167,64,32,371,22,388
POA4810,784,3920,2979,699,285,8663,327,8987
POA4811,150,1449,1845,588,250,4282,139,4419
POA4812,769,3290,2431,656,303,7448,270,7713
POA4814,911,4807,6100,2037,877,14738,425,15158
POA4815,354,2323,2692,948,432,6748,249,7001
POA4816,299,906,1069,423,268,2963,136,3097
POA4817,360,2950,4418,1452,718,9893,271,10164
POA4818,128,2331,4456,1431,655,9007,264,9274
POA4819,125,497,255,60,28,967,65,1024
POA4820,264,1282,1258,463,294,3560,174,3732
POA4821,26,160,162,79,47,471,38,504
POA4822,14,79,85,48,46,277,18,295
POA4823,9,86,77,49,50,271,15,288
POA4824,71,278,277,104,72,801,54,858
POA4825,471,2001,2324,747,355,5905,288,6192
POA4828,11,19,11,4,3,45,15,64
POA4829,24,50,31,17,21,146,14,159
POA4830,138,112,44,12,14,319,31,356
POA4849,42,250,193,30,13,534,45,584
POA4850,199,1376,1630,578,304,4080,206,4284
POA4852,56,566,551,123,43,1337,65,1401
POA4854,121,651,710,265,125,1870,90,1955
POA4855,8,87,127,33,23,283,13,291
POA4856,10,81,103,42,23,250,18,267
POA4858,10,158,221,85,32,518,31,542
POA4859,4,71,59,28,7,180,7,192
POA4860,385,1495,1419,420,187,3904,177,4087
POA4861,48,225,199,61,36,560,34,594
POA4865,103,807,1065,414,243,2625,97,2727
POA4868,428,2646,2974,909,383,7340,319,7660
POA4869,231,1866,2542,765,372,5774,216,5994
POA4870,2561,10075,8472,2308,991,24410,1221,25627
POA4871,211,1124,1205,484,281,3304,193,3497
POA4872,55,423,499,230,163,1376,74,1450
POA4873,129,861,856,293,116,2261,134,2398
POA4874,162,369,598,218,84,1426,68,1492
POA4875,765,577,245,66,39,1685,195,1882
POA4876,186,259,138,31,21,635,49,688
POA4877,122,765,598,138,58,1686,84,1772
POA4878,260,1874,2048,578,226,4984,181,5159
POA4879,237,2650,3017,808,308,7029,179,7204
POA4880,350,1395,1532,584,333,4191,211,4402
POA4881,73,538,618,225,100,1560,74,1630
POA4882,22,283,421,175,79,977,30,1014
POA4883,237,1292,1099,336,184,3146,146,3293
POA4884,15,226,321,95,47,700,27,728
POA4885,37,474,546,217,101,1380,52,1436
POA4886,9,126,129,37,21,332,16,340
POA4887,22,284,272,100,49,735,28,765
POA4888,53,386,394,126,60,1013,67,1072
POA4890,47,138,99,35,24,342,36,379
POA4891,10,105,76,28,8,228,10,237
POA4892,596,393,197,56,37,1268,62,1336
POA4895,187,548,421,138,72,1376,73,1450
