POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA4518,1722,4725,0,3,0,0,0,3,5,14,0,0,0,0,0,0,4,10,3,3,0,0,6,11,0,0,12,19,3,16,1737,4775,81,..,1819,4775
POA4519,2576,7192,171,316,90,187,255,504,35,52,0,0,3,10,0,0,36,67,44,62,0,4,4,4,0,0,45,66,12,41,2923,7872,197,..,3122,7872
POA4520,3983,12250,25,41,0,3,28,41,0,0,0,0,0,0,0,0,3,3,0,7,5,6,3,8,0,0,13,22,22,72,4039,12395,230,..,4274,12395
POA4521,1508,4204,0,5,0,0,0,5,8,15,0,0,0,0,0,0,9,16,8,21,4,4,3,7,0,0,15,37,9,11,1540,4272,150,..,1687,4272
POA4550,1360,3733,38,60,16,35,50,91,20,22,0,0,0,0,13,20,29,50,33,43,35,54,0,0,0,0,66,93,7,13,1511,3976,101,..,1617,3976
POA4551,14976,41102,1971,3418,960,2006,2929,5427,619,1019,551,993,1852,3445,3,10,3034,5471,204,311,186,255,0,3,19,46,417,616,136,204,21487,52814,3779,..,25260,52814
POA4552,3216,7412,57,92,34,62,94,155,20,26,3,5,0,0,4,9,27,42,14,32,20,33,12,12,8,20,51,104,27,48,3414,7766,499,..,3916,7766
POA4553,1836,5436,28,51,0,0,28,51,6,17,0,0,0,0,0,0,6,17,3,11,0,0,0,0,6,22,11,35,14,24,1895,5552,117,..,2010,5552
POA4554,604,1759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,604,1768,38,..,643,1768
POA4555,2153,6206,79,130,14,21,91,153,16,24,0,0,0,0,0,0,16,24,10,10,43,52,0,4,0,0,53,68,19,45,2329,6502,164,..,2498,6502
POA4556,11639,33154,2023,3133,695,1531,2723,4664,591,995,132,247,291,691,3,4,1020,1937,19,34,66,103,3,4,0,0,83,142,60,133,15533,40032,1260,..,16794,40032
POA4557,4303,12421,187,328,341,734,522,1066,1236,2445,405,746,351,662,0,0,1988,3860,5,17,39,62,0,5,0,3,51,86,31,48,6901,17475,1070,..,7972,17475
POA4558,3255,8364,613,993,1370,2756,1982,3750,780,1374,545,1000,1329,2366,0,0,2659,4738,187,295,25,45,3,3,12,23,226,367,63,99,8177,17304,1144,..,9323,17304
POA4559,1875,5504,27,46,29,57,52,103,10,23,0,0,0,0,0,0,12,22,20,28,141,201,0,0,0,3,158,229,8,23,2107,5874,141,..,2251,5874
POA4560,9678,25746,669,1173,502,940,1173,2115,569,814,44,85,6,5,3,7,620,911,140,192,46,63,9,15,9,35,207,305,71,163,11750,29235,969,..,12723,29235
POA4561,2199,6326,52,95,9,18,60,112,63,108,0,0,0,0,0,0,63,104,57,99,6,20,4,6,0,0,65,123,29,79,2421,6744,187,..,2612,6744
POA4562,2645,7424,10,31,0,3,15,37,3,0,0,0,4,4,0,0,3,8,3,3,3,5,0,3,0,7,11,19,27,67,2698,7554,244,..,2940,7554
POA4563,2937,7539,21,52,15,21,35,70,97,160,0,0,0,0,0,0,97,160,17,28,4,0,12,31,0,0,36,57,13,37,3116,7869,332,..,3445,7869
POA4564,2518,6698,375,656,524,1186,893,1843,298,581,155,338,243,469,0,0,703,1383,23,39,7,5,0,0,0,3,27,53,7,12,4150,9984,594,..,4749,9984
POA4565,4653,11851,483,751,127,209,608,962,231,348,0,0,0,3,0,0,230,350,23,40,12,16,8,34,3,7,49,104,43,94,5587,13366,729,..,6320,13366
POA4566,2071,5242,365,549,545,986,907,1538,238,383,139,237,4,6,0,0,385,626,14,19,0,0,0,0,0,5,13,24,32,71,3408,7497,822,..,4234,7497
POA4567,2987,7615,48,90,575,1101,620,1188,317,595,237,425,81,147,0,0,635,1169,0,0,0,0,0,0,0,6,0,6,37,85,4281,10066,2013,..,6294,10066
POA4568,1241,3160,7,16,3,5,9,22,9,7,0,0,0,0,0,0,6,12,17,24,3,4,11,17,0,0,29,41,14,19,1302,3254,111,..,1415,3254
POA4569,598,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,600,1508,52,..,650,1508
POA4570,14503,36706,359,587,207,321,567,913,297,403,0,0,0,0,5,3,302,404,120,199,54,78,58,123,32,74,268,483,90,211,15729,38711,1726,..,17452,38711
POA4571,289,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,296,717,41,..,338,717
POA4572,581,1595,25,46,105,215,126,259,249,433,264,428,311,538,0,0,823,1408,24,41,3,11,0,0,0,0,29,46,13,24,1566,3327,475,..,2045,3327
POA4573,7048,19671,455,820,973,1943,1427,2759,294,524,236,435,206,391,24,29,757,1380,22,38,3,3,3,3,6,21,36,69,58,140,9333,24016,1989,..,11316,24016
POA4574,487,1138,0,0,0,0,0,0,12,14,0,0,0,0,0,0,12,14,10,29,3,12,0,3,0,0,10,35,5,17,512,1204,77,..,597,1204
POA4575,6456,17704,1203,1923,146,314,1343,2231,200,368,165,347,820,1564,0,0,1191,2274,0,0,32,39,0,0,6,11,38,50,14,25,9040,22289,1010,..,10057,22289
POA4580,1809,3915,113,160,36,58,150,221,22,41,0,0,0,0,0,0,24,38,81,112,55,71,4,7,3,5,144,195,3,8,2133,4378,463,..,2602,4378
POA4581,360,825,39,78,30,61,72,138,35,53,29,56,0,4,4,6,67,113,17,40,4,9,18,34,8,18,47,95,3,7,551,1180,380,..,931,1180
POA4600,349,797,4,7,0,0,4,7,12,16,0,0,0,0,0,0,12,16,3,9,6,4,4,8,0,4,17,27,0,7,383,859,102,..,488,859
POA4601,415,1011,0,0,0,0,0,0,20,18,0,0,0,0,0,0,20,18,3,4,0,3,0,0,8,10,12,14,0,0,440,1046,103,..,540,1046
POA4605,1503,4251,16,32,0,7,16,40,55,79,0,0,0,0,0,0,55,79,12,18,0,0,4,9,0,0,20,27,3,14,1597,4413,226,..,1821,4413
POA4606,865,2061,42,58,3,3,45,62,19,29,0,0,0,0,0,0,19,29,8,17,0,6,3,3,3,8,16,41,4,13,951,2197,121,..,1072,2197
POA4608,323,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,6,18,0,0,15,25,3,4,339,785,67,..,403,785
POA4610,4997,12761,206,328,5,13,211,339,273,409,0,0,0,0,3,3,281,415,43,71,3,7,11,25,8,23,71,117,16,50,5577,13676,717,..,6290,13676
POA4611,37,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,107,11,..,56,107
POA4612,94,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,102,216,15,..,116,216
POA4613,329,742,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,4,12,0,0,3,3,4,6,13,31,3,5,349,787,82,..,435,787
POA4614,446,993,3,5,0,0,3,5,12,17,0,0,0,0,0,0,12,17,9,12,0,0,0,0,4,5,16,19,0,0,476,1030,77,..,556,1030
POA4615,2545,6019,49,63,3,3,53,66,53,79,0,0,0,0,0,0,53,79,43,75,3,3,4,3,4,15,53,97,12,24,2722,6280,459,..,3184,6280
POA4620,150,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,349,26,..,180,349
POA4621,686,1559,7,13,0,0,7,13,3,3,0,0,0,0,0,0,3,3,21,26,0,0,0,0,4,3,23,28,3,8,717,1606,166,..,885,1606
POA4625,918,2249,17,25,3,4,15,30,23,35,0,0,0,3,0,0,20,32,19,41,9,6,7,12,6,16,46,76,10,14,1012,2413,193,..,1208,2413
POA4626,697,1732,0,0,0,0,0,0,36,81,0,0,0,0,0,0,36,81,37,61,22,59,16,31,0,4,77,147,4,17,819,1983,136,..,957,1983
