POA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA4474,22,0,0,0,0,22,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,32
POA4475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4477,89,0,0,0,0,94,32,0,0,0,0,30,0,0,0,0,0,0,0,3,0,0,0,3,12,0,0,0,0,12,0,0,0,0,0,0,18,0,0,0,0,18,5,0,0,0,0,6,37,4,0,0,0,38,3,0,0,0,0,3,15,0,0,0,0,13,168,3,0,3,0,181
POA4478,76,0,0,0,0,78,40,0,0,0,0,36,3,0,0,0,0,3,12,0,0,0,0,12,17,0,0,0,0,16,0,0,0,0,0,0,21,0,0,0,0,21,7,0,0,0,0,7,59,0,0,3,0,60,3,0,0,0,0,3,13,0,0,0,0,10,185,0,0,3,3,186
POA4479,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
POA4480,86,0,0,3,0,87,73,0,0,0,0,71,0,0,0,0,0,0,12,0,3,0,0,9,34,0,0,0,0,39,3,0,0,0,0,4,34,0,3,0,0,33,10,0,0,0,0,7,84,0,10,0,0,98,11,0,0,0,0,11,8,0,9,0,0,24,252,0,25,8,0,285
POA4481,15,0,0,0,0,17,11,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,3,11,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,44
POA4482,3,0,0,4,0,5,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,28,0,0,0,0,30,0,0,0,0,0,0,4,0,0,0,0,3,34,0,0,5,3,44
POA4486,84,0,0,4,3,89,48,0,0,0,0,51,5,0,0,0,0,5,8,0,3,0,0,8,21,0,0,0,0,21,0,0,7,0,0,5,25,0,0,0,0,27,15,0,0,0,0,15,74,0,10,0,0,90,5,0,0,0,0,5,14,0,0,3,0,19,235,0,10,8,8,252
POA4487,300,0,0,3,8,316,293,0,0,3,0,298,107,0,14,0,3,124,61,0,3,0,0,66,89,0,0,3,0,96,12,0,0,0,0,12,69,3,0,4,0,75,23,0,0,0,0,27,362,3,16,6,4,398,18,0,0,0,0,15,31,0,0,7,0,46,1012,3,22,24,16,1078
POA4488,42,0,0,6,0,52,14,0,0,0,0,14,4,0,5,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,12,8,0,0,0,0,8,25,0,5,0,0,25,3,0,0,0,0,3,3,0,0,0,0,5,94,0,5,10,0,106
POA4489,16,0,0,0,0,11,4,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,28,0,0,0,0,30
POA4490,230,3,0,10,3,244,92,0,0,0,3,100,3,0,0,0,0,3,53,10,0,0,0,72,51,0,0,3,0,55,6,3,0,0,0,9,32,0,0,0,0,39,13,0,0,0,0,13,164,14,4,7,0,187,7,0,0,0,0,7,26,0,0,0,0,26,519,15,4,12,10,561
POA4491,18,0,0,0,0,23,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,39
POA4492,31,0,0,0,0,34,33,0,0,0,0,33,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,13,0,0,0,0,0,0,17,0,0,0,0,20,3,0,0,0,0,6,35,0,0,0,0,45,6,0,0,0,0,6,4,0,0,0,0,8,110,0,0,3,6,115
POA4493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,7
POA4494,23,0,0,0,0,23,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,16,3,0,0,0,0,3,18,0,0,0,0,18,3,0,0,0,0,3,0,0,0,0,0,0,52,0,0,0,0,57
POA4496,38,0,0,0,0,40,12,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,24,0,0,0,0,25,10,0,0,0,0,10,45,0,0,0,3,45,0,0,0,0,0,0,3,0,0,0,0,3,92,0,0,0,5,100
POA4497,51,0,0,3,0,54,16,0,0,0,0,16,4,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,16,0,0,0,0,16,9,0,0,0,0,9,37,0,0,0,0,37,3,0,0,0,0,0,4,0,0,3,0,3,108,0,0,3,3,110
POA4498,12,0,0,0,0,12,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,28,0,0,0,0,28,5,0,0,0,0,5,38,0,0,0,0,38,7,0,0,0,0,7,0,0,0,0,0,0,72,0,0,3,0,75
POA4500,3150,216,63,0,0,3429,6138,265,47,4,3,6464,1718,764,137,3,0,2617,165,67,31,0,0,275,453,156,39,0,3,646,18,19,0,0,0,33,271,25,3,0,0,302,13,16,0,0,0,29,2646,1043,211,3,3,3906,42,8,0,0,0,51,193,30,17,0,0,232,12164,1557,344,11,7,14081
POA4501,397,73,4,0,0,472,683,97,6,0,0,795,189,174,48,0,0,409,97,60,18,0,0,170,92,47,7,0,0,146,0,11,0,0,0,11,24,4,4,0,0,34,5,5,3,0,0,16,407,293,84,3,0,790,8,14,0,0,0,20,29,18,3,0,0,50,1518,494,99,0,0,2122
POA4502,717,7,3,0,0,731,1394,21,8,0,0,1424,307,117,49,0,0,475,60,10,47,0,0,114,125,29,7,0,0,164,4,3,0,0,0,6,6,8,0,0,0,15,13,3,0,0,0,13,515,167,107,0,0,782,9,0,0,0,0,9,49,6,0,0,0,51,2678,196,126,0,0,2999
POA4503,2580,359,0,119,4,3063,5428,256,7,5,7,5714,2540,1778,48,0,25,4390,236,122,0,0,0,366,553,276,12,6,0,851,4,69,0,0,0,74,78,63,3,55,0,196,31,21,0,0,3,58,3453,2329,60,64,32,5934,37,131,0,4,0,168,197,98,0,20,3,316,11694,3173,67,216,51,15195
POA4504,1023,11,0,0,4,1040,3024,41,0,0,0,3068,1008,90,0,0,0,1105,17,0,0,0,0,16,187,17,0,0,0,205,3,0,0,0,0,3,10,0,0,0,0,10,5,0,0,0,0,6,1236,112,0,0,0,1342,17,0,0,0,0,17,81,0,0,0,0,82,5380,161,0,3,4,5554
POA4505,2348,38,0,3,3,2396,2836,60,3,0,3,2901,693,340,0,0,3,1037,43,19,0,0,0,67,240,27,0,0,0,263,11,3,0,0,0,16,66,0,0,0,0,66,30,0,0,0,0,28,1083,391,0,0,7,1478,53,0,0,0,0,54,137,17,0,0,0,154,6453,500,6,6,12,6973
POA4506,1418,54,3,4,0,1484,2399,47,3,3,0,2453,1892,410,18,0,12,2332,104,55,11,0,0,165,313,61,3,0,0,380,3,13,3,0,0,19,31,19,3,0,0,48,13,4,0,0,0,14,2348,555,39,0,12,2957,22,0,0,0,0,23,124,19,3,0,7,147,6311,678,44,6,17,7065
POA4507,3050,534,108,204,3,3896,1359,131,58,10,7,1553,729,322,230,3,0,1291,84,140,26,0,0,247,294,120,71,3,3,492,3,85,6,4,0,95,24,14,4,31,0,78,27,13,9,0,0,43,1157,696,347,46,5,2253,23,88,3,5,0,113,165,58,17,24,3,269,5755,1509,533,285,20,8097
POA4508,1501,59,16,17,3,1589,2101,81,27,0,0,2210,1272,275,99,0,13,1655,348,35,63,0,0,443,325,62,15,3,3,407,12,12,3,0,0,33,47,24,3,61,3,140,32,5,0,0,0,43,2035,407,187,70,24,2727,22,0,6,0,0,31,163,21,6,5,0,200,5822,568,244,95,30,6761
POA4509,1171,134,83,0,5,1400,3652,75,15,0,3,3742,2524,776,75,0,3,3378,39,22,0,0,0,64,252,102,19,0,0,376,10,20,8,0,0,32,142,36,0,0,0,180,14,3,0,0,0,17,2977,960,106,0,4,4043,14,111,47,0,0,166,115,27,16,0,0,166,7927,1307,266,0,15,9512
POA4510,3450,255,127,79,12,3922,4904,134,18,4,13,5068,3464,1165,197,0,16,4845,350,305,72,0,0,732,815,141,108,3,12,1077,31,25,64,0,0,120,85,31,63,37,7,211,58,14,18,0,0,92,4811,1674,512,41,32,7075,47,54,78,4,3,182,301,91,74,6,4,473,13511,2212,815,129,63,16731
POA4511,1078,153,15,129,0,1377,1026,19,4,4,0,1058,528,46,14,0,0,590,13,0,0,0,0,13,140,21,4,0,0,168,11,4,0,0,0,13,14,0,0,17,0,30,9,0,0,0,0,16,719,78,15,17,0,827,11,0,0,0,0,11,59,9,0,8,0,75,2897,262,31,154,3,3347
POA4512,334,0,0,0,0,336,514,0,0,0,0,514,50,0,0,0,0,49,0,0,0,0,0,0,71,0,0,0,3,76,0,0,0,0,0,0,8,0,0,0,0,8,10,0,0,0,0,5,136,0,0,0,3,143,7,0,0,0,0,7,28,0,0,0,6,34,1023,0,0,3,13,1032
POA4514,711,0,3,25,5,746,927,0,0,7,5,939,198,0,0,3,3,205,4,0,0,0,0,4,157,0,0,3,0,165,3,0,0,0,0,3,15,0,0,3,3,17,20,0,0,0,0,23,393,0,0,9,3,412,11,0,0,6,0,10,41,0,3,3,0,41,2081,7,12,44,12,2150
POA4515,529,0,0,9,0,534,464,0,0,0,5,473,182,23,0,0,0,214,0,0,0,0,0,0,120,4,0,0,3,127,3,0,0,0,0,3,22,0,0,6,0,31,13,0,0,0,0,15,335,27,4,12,4,378,10,0,0,0,0,12,47,5,0,0,0,52,1389,31,8,20,10,1455
POA4516,342,0,0,0,0,342,641,3,0,0,0,648,64,0,0,0,0,66,0,0,0,0,0,0,47,0,0,3,0,48,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,4,122,0,0,8,0,127,8,0,0,0,0,9,20,0,0,4,0,20,1129,4,0,15,4,1146
