POA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA4716,127,0,0,3,0,133,103,0,0,0,0,106,14,0,0,0,0,14,7,0,0,0,0,7,39,0,3,0,0,42,0,0,0,0,0,0,4,0,0,0,0,6,8,0,0,0,0,7,63,0,3,3,0,74,5,0,0,0,0,5,10,0,0,0,0,11,310,0,7,8,0,322
POA4717,141,0,0,0,0,149,285,0,3,0,0,284,371,6,30,0,3,406,68,0,4,0,0,73,83,0,8,3,0,95,6,0,0,0,0,6,342,0,32,3,0,382,11,0,3,0,0,14,882,10,77,7,4,974,3,0,0,0,0,8,37,0,0,0,0,38,1343,10,82,13,3,1454
POA4718,222,0,0,3,0,228,166,0,0,0,0,169,105,4,3,0,0,110,30,4,6,0,0,34,62,0,0,0,0,65,0,0,0,0,3,7,94,8,9,0,4,111,20,0,0,0,0,20,307,17,13,0,7,351,10,0,0,0,0,10,22,0,0,0,3,26,729,22,13,6,12,782
POA4719,136,0,0,8,0,144,67,0,0,0,0,67,7,0,0,0,0,7,7,0,0,0,0,7,53,0,0,0,0,56,8,6,0,0,0,9,37,0,4,0,0,45,12,0,0,0,0,18,126,6,4,6,0,142,6,0,0,0,0,10,16,0,0,8,0,24,353,8,4,19,3,388
POA4720,620,3,9,20,12,660,1606,43,28,14,8,1688,795,184,194,0,6,1175,76,4,43,0,0,127,275,31,37,5,3,353,8,0,5,0,0,21,214,28,38,4,6,299,32,0,0,0,0,34,1396,252,320,11,26,2005,24,0,0,3,0,25,85,7,10,3,3,112,3722,304,371,45,46,4500
POA4721,344,0,3,26,5,379,286,0,3,3,3,295,86,0,31,0,0,120,13,0,10,0,0,27,82,0,0,3,0,83,3,0,4,0,0,3,172,3,10,4,3,188,24,0,0,0,0,33,378,6,60,9,3,450,26,0,0,3,0,29,41,0,7,4,0,52,1074,11,68,38,18,1209
POA4722,158,0,0,4,62,220,99,0,0,0,42,138,11,0,0,0,16,23,4,0,0,0,16,17,32,0,0,0,14,45,0,0,0,0,0,3,36,0,0,0,32,67,18,0,0,0,10,27,104,0,3,3,79,185,3,0,0,0,0,7,12,0,0,0,7,17,381,0,3,9,183,574
POA4723,109,0,0,3,0,114,141,0,3,3,0,146,47,0,3,0,0,53,7,0,9,0,0,19,36,0,0,0,0,36,0,0,0,0,0,0,37,0,16,4,3,54,9,0,0,0,0,11,139,0,26,5,4,176,5,0,0,0,0,5,17,0,0,0,0,17,408,0,31,10,4,458
POA4724,92,0,0,3,4,100,33,0,0,0,0,29,3,0,0,0,0,3,4,0,0,0,0,6,11,0,0,0,0,14,0,0,0,0,0,0,35,0,3,0,0,44,9,0,0,0,0,9,65,0,5,0,0,70,6,0,0,0,0,6,5,0,0,0,0,5,205,0,5,4,10,215
POA4725,232,0,0,16,6,255,127,0,0,3,0,132,34,0,3,0,0,33,19,0,4,0,0,25,39,0,0,0,0,41,4,0,0,0,0,4,51,0,3,0,0,55,13,0,0,0,0,13,153,0,14,0,3,167,6,0,0,0,0,3,17,0,0,0,0,18,533,0,14,21,13,584
POA4726,72,0,0,4,0,79,29,0,0,0,0,29,0,0,0,0,0,0,12,0,0,0,0,12,16,0,0,0,0,16,0,0,0,0,0,0,19,0,0,0,0,16,3,0,0,0,0,3,48,0,0,0,0,46,3,0,0,0,0,3,4,0,0,0,0,6,155,0,0,3,3,160
POA4727,27,0,0,3,0,29,32,0,0,0,0,38,6,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,7,6,0,0,0,0,6,19,0,0,0,0,21,0,0,0,0,0,0,6,0,0,0,0,3,83,0,0,5,0,96
POA4728,28,0,0,3,0,32,12,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,5,25,0,0,0,0,21,8,0,0,0,0,8,3,0,0,0,0,3,74,0,0,3,0,75
POA4730,328,0,0,21,0,352,296,0,0,5,3,301,136,9,18,0,0,160,51,14,11,0,0,70,108,5,8,0,3,126,14,7,3,0,0,21,76,7,11,4,3,102,22,0,0,4,0,25,392,41,51,11,9,502,11,0,5,0,0,17,36,0,4,3,0,44,1068,41,56,39,11,1212
POA4731,38,0,0,3,0,44,10,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,3,4,0,0,0,0,3,76,0,0,10,0,80
POA4732,20,0,0,0,0,17,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,8,50,0,0,0,0,54
POA4733,26,0,0,8,0,31,8,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,9,4,0,0,0,0,3,12,0,0,3,0,15,3,0,0,0,0,3,3,0,0,0,0,3,57,0,0,10,0,70
POA4735,144,0,0,20,0,164,78,0,0,3,0,78,3,0,0,0,0,3,18,0,17,0,0,36,49,0,0,0,0,50,3,0,0,0,0,10,24,3,3,3,0,31,10,0,0,0,0,9,102,4,22,3,3,137,7,0,0,0,0,5,15,0,0,4,0,19,345,4,22,29,7,409
POA4736,10,0,0,3,0,11,4,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,13,0,7,0,0,20,0,0,0,0,0,0,20,0,7,0,0,27,4,0,0,0,0,4,0,0,0,0,0,0,41,0,7,3,0,49
POA4737,870,3,17,10,4,903,994,5,4,7,3,1013,302,29,51,0,0,379,42,0,12,0,0,52,203,4,18,0,0,224,14,0,0,0,0,16,39,0,10,3,0,48,20,0,0,0,0,19,616,31,84,5,0,733,13,0,0,0,0,13,80,4,29,27,0,133,2576,49,126,42,5,2795
POA4738,159,0,0,12,0,172,149,0,0,0,0,146,15,0,0,0,0,15,0,0,0,0,0,0,29,0,0,0,0,32,0,0,0,0,0,0,14,0,0,0,0,12,15,0,0,0,0,13,66,0,0,4,0,72,4,0,0,0,0,4,13,0,0,0,0,10,389,0,0,20,0,405
POA4739,63,0,0,3,0,64,32,0,0,0,0,32,3,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,38,0,0,0,0,37,3,0,0,0,0,3,0,0,0,3,0,3,136,0,0,7,0,147
POA4740,6867,363,235,152,30,7641,9460,351,141,27,16,9989,3823,1426,676,7,23,5956,522,405,209,0,5,1145,1677,319,132,22,13,2155,68,95,34,0,0,198,187,90,19,49,11,358,99,35,7,3,3,148,6376,2367,1082,80,52,9956,257,22,65,9,6,362,543,123,77,63,50,859,23506,3221,1599,327,153,28809
POA4741,916,0,3,30,10,964,873,5,4,16,9,906,75,0,3,0,4,85,0,0,0,0,0,0,182,3,0,7,0,194,0,0,0,0,0,0,84,0,0,3,0,83,23,0,0,0,0,23,368,4,7,9,4,393,25,0,0,0,0,25,78,4,0,17,4,103,2260,16,8,71,28,2382
POA4742,71,0,0,12,0,85,65,0,0,0,0,65,56,0,7,0,0,62,0,0,0,0,0,0,21,0,0,0,0,23,0,0,0,0,0,0,35,0,0,0,0,37,10,0,0,0,0,12,118,0,5,0,0,131,4,0,0,0,0,9,16,0,3,0,3,14,273,0,8,16,3,301
POA4743,4,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,4,117,7,12,0,0,139,3,0,0,0,0,3,134,4,16,0,0,157,0,0,0,0,0,0,4,0,0,0,0,3,150,4,16,0,3,175
POA4744,201,0,3,7,0,220,306,6,0,4,0,320,592,71,68,0,0,728,35,14,12,0,0,65,81,4,6,0,0,92,0,0,0,0,0,3,811,173,69,10,0,1061,25,0,5,6,0,37,1544,265,161,15,0,1984,4,0,0,0,0,7,46,8,8,3,3,64,2106,280,172,31,4,2590
POA4745,127,0,0,0,0,133,97,0,0,0,0,97,182,0,15,0,0,195,9,0,10,0,0,17,52,0,0,0,0,53,3,0,0,0,0,3,245,18,14,0,0,280,5,0,0,0,0,7,494,22,37,0,0,562,6,0,0,0,0,6,14,0,3,0,0,18,739,22,43,4,5,812
POA4746,22,0,0,0,0,22,4,0,0,0,0,7,57,17,0,0,3,83,4,4,5,0,0,8,14,0,0,0,0,19,5,0,0,0,0,5,339,21,0,0,3,357,5,0,0,0,0,9,421,39,3,0,9,480,3,0,0,0,3,3,10,0,0,0,0,7,461,39,7,3,15,519
POA4750,368,8,3,12,4,398,801,12,3,3,9,824,404,35,28,0,18,486,28,15,0,0,0,38,95,8,6,0,4,113,6,0,0,0,0,8,7,0,3,0,0,10,3,0,0,0,0,4,533,64,42,0,20,662,4,0,0,3,0,7,27,3,3,0,0,38,1737,93,49,20,33,1930
POA4751,461,3,0,0,0,465,667,3,0,0,0,675,166,12,20,0,0,209,12,0,3,0,0,13,92,3,6,0,0,107,0,0,0,0,0,0,8,0,0,0,0,4,12,0,0,0,0,12,286,17,34,3,4,347,6,0,0,0,0,6,39,0,8,0,0,47,1462,25,35,4,4,1534
POA4753,282,0,0,0,0,286,717,3,0,0,0,727,176,0,3,0,0,176,3,0,10,0,0,9,80,0,0,0,0,80,0,0,0,0,0,0,8,0,0,0,0,8,13,0,0,0,0,13,276,0,8,0,0,288,3,0,0,0,0,3,20,0,0,0,0,24,1306,3,12,0,0,1319
POA4754,195,0,0,4,0,200,279,0,0,0,3,278,78,0,0,0,0,77,8,0,9,0,0,17,70,0,0,0,0,74,0,0,3,0,0,3,20,3,0,0,0,21,9,0,0,0,0,9,183,8,17,3,0,209,7,0,0,0,0,7,23,0,0,11,3,37,686,8,17,15,10,733
POA4756,101,0,0,4,0,107,73,0,0,4,0,75,4,0,0,0,0,4,0,0,0,0,0,0,28,0,0,0,0,28,3,0,0,0,0,3,8,0,0,0,0,8,4,0,0,0,0,4,50,0,0,0,0,50,0,0,0,0,0,0,6,0,0,0,0,6,229,0,0,5,0,243
POA4757,58,0,0,0,3,65,37,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,19,0,0,0,0,19,3,0,0,0,0,3,3,0,0,0,0,3,117,0,0,0,4,122
POA4798,115,0,0,4,0,123,57,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,0,0,0,0,0,0,8,0,0,0,0,8,8,0,0,0,0,8,56,0,0,0,0,56,5,0,0,0,0,5,6,0,0,0,0,6,240,3,0,9,0,252
POA4799,144,0,3,14,0,163,121,5,0,18,0,137,20,0,3,0,0,23,0,0,0,0,0,0,20,0,3,3,0,25,0,0,0,0,0,0,0,0,0,6,0,14,12,0,0,0,0,12,57,0,3,9,0,71,0,0,0,0,0,0,3,0,0,6,0,13,325,7,4,49,0,389
POA4800,1042,8,11,17,10,1087,1168,13,14,8,7,1211,300,44,59,0,0,406,26,10,22,0,0,63,220,8,7,6,0,235,6,23,5,0,0,39,47,0,5,0,0,54,28,3,0,0,0,30,637,94,99,3,0,832,12,0,5,0,0,16,110,12,10,8,25,162,2970,114,135,41,48,3303
POA4801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4802,414,40,52,58,24,590,883,81,87,9,13,1070,462,287,290,0,22,1058,16,23,23,0,0,67,168,68,63,3,7,314,3,3,8,0,0,10,24,16,8,11,6,59,10,3,5,0,0,15,683,404,388,13,32,1525,5,0,3,0,3,11,56,12,18,9,11,107,2036,538,549,94,88,3300
POA4803,6,0,0,0,0,10,4,0,3,0,3,11,0,3,8,0,3,11,0,0,0,0,0,0,3,0,6,0,3,11,0,0,0,0,0,0,5,0,43,0,10,63,0,0,0,0,0,0,10,3,60,0,19,92,0,0,0,0,0,0,7,0,30,0,0,42,21,3,100,6,21,149
POA4804,279,0,0,7,5,289,154,0,0,0,3,152,63,0,0,0,0,64,13,3,0,0,0,19,40,3,0,0,0,46,0,0,0,0,0,0,35,4,0,0,0,40,6,0,0,0,0,8,156,11,3,0,3,178,3,0,0,0,0,3,23,3,0,0,0,24,619,12,3,7,11,646
POA4805,1127,23,13,84,6,1255,922,9,5,8,3,946,620,84,106,0,3,813,93,37,24,0,0,154,229,31,29,0,3,287,35,34,12,0,0,88,69,11,3,20,0,103,35,3,3,3,3,44,1084,196,181,23,11,1492,28,3,0,4,0,31,103,21,9,13,7,159,3261,250,216,129,29,3884
POA4806,621,0,3,31,0,655,371,0,0,3,0,372,131,8,30,0,0,171,14,3,0,0,0,18,113,0,3,0,0,125,3,0,0,0,0,3,21,0,0,0,0,28,26,0,3,0,0,30,315,14,36,5,0,370,14,0,0,0,0,14,37,0,0,8,0,46,1358,14,41,43,6,1459
POA4807,1526,3,70,51,3,1654,1119,3,21,4,0,1147,440,18,249,5,0,712,75,0,34,0,0,108,210,0,29,4,3,247,16,0,26,0,0,48,69,0,9,3,0,81,39,3,8,0,0,55,852,29,362,10,3,1252,29,0,3,0,0,34,95,0,16,8,29,145,3617,33,472,77,39,4236
POA4808,176,0,0,0,0,177,124,0,0,3,0,130,41,0,3,0,0,46,5,0,0,0,0,5,26,0,0,0,0,26,0,0,0,0,0,3,36,0,0,0,0,36,0,0,0,0,0,0,105,0,7,0,0,115,3,0,0,0,0,3,6,0,0,0,0,9,420,0,7,4,0,428
POA4809,135,0,0,13,0,147,124,0,0,4,0,130,18,0,0,0,0,18,3,0,0,0,0,3,32,0,0,0,0,35,0,0,0,0,0,0,30,0,0,0,0,30,9,0,0,0,0,9,89,0,0,0,0,97,8,0,0,0,0,8,12,0,0,0,0,12,368,0,0,12,3,388
POA4810,1377,178,365,71,6,2003,1553,191,373,10,9,2132,621,895,1569,0,17,3098,28,196,94,0,0,314,342,192,298,6,9,845,20,8,42,0,0,68,23,20,61,9,4,116,16,16,16,0,0,48,1054,1320,2078,16,33,4499,63,10,9,4,0,87,103,48,107,3,5,272,4155,1744,2935,110,58,8987
POA4811,1013,7,10,30,6,1072,1572,22,20,3,4,1623,562,157,212,0,0,929,124,21,21,0,0,165,235,20,38,4,0,303,5,0,24,0,0,29,94,28,14,13,0,152,17,3,10,0,0,27,1034,232,322,20,5,1610,15,0,0,0,0,18,76,8,12,3,0,101,3717,269,368,59,15,4419
POA4812,1497,234,40,21,3,1801,1927,210,85,0,4,2234,652,1077,287,3,0,2018,117,149,226,0,0,494,387,246,63,3,4,711,6,19,19,0,0,43,41,21,22,4,3,91,19,17,3,0,0,41,1224,1535,623,15,10,3404,14,60,0,0,4,79,97,66,27,4,3,198,4763,2106,781,44,26,7713
POA4814,3460,195,56,4,0,3713,4956,91,20,3,3,5074,2672,514,253,3,5,3445,516,288,28,4,0,833,954,117,47,0,3,1118,24,25,6,0,0,59,363,18,10,4,0,399,51,12,5,0,0,70,4584,973,345,13,16,5928,44,65,0,0,0,113,249,62,18,5,5,337,13294,1381,433,27,21,15158
POA4815,1381,9,3,0,0,1400,2718,9,6,3,0,2734,1135,144,69,0,3,1355,377,20,14,0,0,404,467,20,5,0,0,494,17,9,0,0,0,29,164,9,0,0,0,172,30,3,0,0,0,29,2188,200,91,0,3,2485,178,0,0,0,5,176,166,33,3,0,5,209,6624,259,99,3,12,7001
POA4816,995,36,0,97,18,1147,864,14,0,15,16,908,135,0,0,0,0,138,377,16,22,0,3,422,154,6,3,10,5,178,20,0,4,0,0,25,61,11,13,10,7,102,33,3,0,3,0,47,790,41,39,20,13,908,29,3,0,3,0,40,78,5,0,12,5,97,2768,100,42,145,52,3097
POA4817,2137,118,19,37,4,2309,3988,73,6,10,8,4080,1688,350,33,0,4,2074,223,78,17,0,0,313,513,71,4,5,0,592,11,14,0,0,0,29,466,9,0,0,0,476,25,4,0,0,0,26,2918,517,51,7,6,3504,24,17,12,0,0,46,179,31,3,0,4,218,9251,758,87,49,22,10164
POA4818,1418,4,0,129,8,1562,4198,26,0,9,11,4247,2174,151,14,3,10,2349,102,10,0,0,0,108,389,11,0,5,4,405,8,5,0,0,0,12,299,10,0,15,0,327,29,0,0,0,0,29,2993,188,13,24,18,3234,26,0,0,3,0,29,183,8,0,4,13,207,8818,227,15,168,42,9274
POA4819,315,7,27,10,8,357,220,4,9,3,3,243,144,19,65,0,0,232,0,0,0,0,0,0,89,4,14,0,0,109,0,0,0,0,0,0,5,0,4,0,0,13,13,0,0,0,0,15,245,21,89,3,7,369,6,0,0,0,0,9,20,3,4,0,24,55,812,34,131,14,37,1024
POA4820,1260,0,11,38,0,1308,1084,0,3,3,0,1098,459,5,45,3,0,509,65,0,39,0,0,103,274,0,10,4,0,289,18,0,17,0,0,41,132,0,16,7,0,152,44,0,0,0,0,47,992,10,121,18,3,1147,39,0,0,3,0,42,117,3,10,0,0,142,3498,10,144,69,8,3732
POA4821,127,65,0,0,5,198,70,34,0,0,3,103,12,8,0,0,0,19,19,5,0,0,3,23,38,14,0,0,3,54,4,0,0,0,0,4,32,21,3,0,3,58,7,5,0,0,0,7,111,40,8,0,7,169,3,4,0,0,0,4,19,9,0,0,0,30,328,150,4,0,16,504
POA4822,90,0,0,3,5,99,70,0,0,0,3,67,20,0,0,0,0,20,8,10,0,0,0,17,13,0,0,3,0,16,0,0,0,0,0,0,44,0,0,0,0,44,4,0,0,0,3,9,97,10,0,3,0,110,9,0,0,0,0,9,9,0,0,0,0,10,271,10,0,4,10,295
POA4823,105,0,0,4,6,119,44,0,0,3,0,48,0,0,0,0,0,0,9,3,0,0,0,12,35,0,0,0,0,38,0,0,0,0,0,0,40,3,0,0,0,47,13,0,0,0,0,16,94,10,0,0,9,110,7,0,0,0,0,6,9,0,0,0,3,12,252,10,3,9,15,288
POA4824,167,0,4,37,16,221,134,0,0,3,9,148,100,3,14,0,0,116,34,3,26,0,0,65,58,0,3,0,0,58,10,0,5,0,0,11,122,3,20,7,0,156,20,0,0,3,0,25,337,14,72,13,4,439,13,0,0,3,0,15,25,0,11,6,0,43,674,14,85,62,25,858
POA4825,896,34,3,27,14,979,1919,51,16,20,12,2018,653,390,140,3,7,1189,398,119,54,0,3,577,380,125,55,3,6,566,47,5,0,0,3,54,297,133,46,10,6,496,35,17,11,0,6,60,1802,791,303,19,28,2943,31,3,3,3,3,43,136,25,20,9,17,212,4778,913,352,75,73,6192
POA4828,7,0,0,11,3,20,4,0,0,0,0,4,0,0,0,0,0,0,12,3,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,9,4,0,0,0,0,4,23,3,0,0,4,26,0,0,0,0,0,0,8,0,0,6,0,14,42,3,0,14,5,64
POA4829,35,0,0,0,3,37,11,0,0,0,0,13,0,0,0,0,0,0,20,5,0,0,0,27,4,0,0,0,0,4,0,0,0,0,0,3,42,0,3,0,4,50,3,0,0,0,0,3,80,5,0,0,3,91,3,0,0,3,0,3,11,0,0,0,0,20,139,5,0,5,6,159
POA4830,8,0,0,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,202,5,35,0,0,240,3,0,0,0,0,7,16,0,0,0,0,19,22,3,0,0,0,22,3,0,0,0,0,3,243,12,35,6,3,294,3,0,0,0,0,8,12,18,0,0,3,33,265,28,42,18,3,356
POA4849,200,8,8,21,0,234,82,3,6,0,0,96,70,9,41,0,0,126,9,4,3,0,0,10,37,4,9,6,0,58,4,0,4,0,0,13,11,0,4,6,0,18,6,0,0,0,0,6,131,19,66,18,0,223,0,0,0,0,0,0,15,0,9,6,0,31,428,28,84,46,3,584
POA4850,1993,3,15,63,4,2078,951,0,4,3,6,973,304,7,103,0,0,418,61,14,25,0,0,99,306,10,29,3,3,344,17,7,16,0,0,43,62,3,3,4,0,77,61,3,4,0,0,69,812,36,178,7,3,1044,34,0,3,0,0,41,137,0,13,3,3,154,3923,47,215,82,23,4284
POA4852,436,3,16,29,0,485,359,6,13,4,5,392,200,33,88,0,0,324,0,0,0,0,0,0,81,4,26,0,0,113,0,0,0,0,0,0,14,0,6,0,0,20,6,0,0,0,0,8,303,41,111,3,5,471,3,0,0,0,0,3,40,3,8,0,3,50,1143,60,145,38,12,1401
POA4854,699,0,4,18,9,731,554,4,0,5,3,569,137,11,49,0,0,199,28,7,7,0,0,45,178,4,13,7,4,205,36,0,0,0,0,32,71,0,10,13,0,91,17,0,0,0,0,20,459,28,81,18,4,589,11,0,0,0,0,17,47,3,3,3,0,56,1767,30,87,55,13,1955
POA4855,134,0,0,3,3,145,75,0,0,0,0,79,16,0,0,0,0,16,0,0,0,0,0,0,27,0,0,0,3,31,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7,56,0,0,0,3,54,3,0,0,0,0,3,11,0,0,4,0,13,280,0,0,12,7,291
POA4856,124,0,0,6,0,126,74,0,0,0,0,72,24,0,0,0,0,20,0,0,0,0,0,0,23,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,47,0,0,0,0,53,0,0,0,0,0,0,13,0,0,0,0,13,259,0,0,8,0,267
POA4858,224,0,0,10,0,236,170,0,0,4,0,172,40,4,0,0,0,43,3,0,0,0,0,3,42,7,3,0,0,47,0,0,0,0,0,0,10,0,0,0,0,10,4,0,0,0,0,4,97,6,5,0,0,116,3,0,0,0,0,3,16,0,0,3,0,19,509,6,8,23,3,542
POA4859,77,0,0,0,0,77,61,0,0,0,0,61,13,0,4,0,0,14,3,0,0,0,0,3,19,0,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,43,0,4,0,0,46,0,0,0,0,0,0,7,0,0,0,0,7,186,0,4,0,0,192
POA4860,1405,3,28,21,6,1452,891,0,10,9,13,919,416,49,189,49,3,718,109,10,75,8,4,201,326,20,49,22,3,422,32,0,10,0,0,40,71,3,14,25,8,120,34,3,4,8,0,39,986,89,335,110,19,1540,33,0,0,0,0,42,96,7,20,12,4,130,3409,100,389,148,37,4087
POA4861,235,0,0,6,0,242,133,0,0,0,0,137,50,0,10,0,0,64,13,3,11,0,0,26,57,0,3,3,0,68,0,0,0,0,0,0,6,0,0,0,0,12,12,0,0,0,0,13,150,7,24,4,0,188,5,0,0,0,0,3,12,3,0,0,3,23,538,13,22,12,5,594
POA4865,759,3,9,8,0,787,1137,7,4,3,3,1157,281,25,26,0,0,327,53,34,10,0,0,96,198,16,4,0,0,219,8,6,0,0,0,15,32,3,3,0,0,38,16,0,0,0,0,19,581,82,43,0,0,703,18,0,0,0,0,18,54,4,0,3,3,66,2555,87,60,12,9,2727
POA4868,1774,73,72,41,0,1968,2548,90,91,7,0,2733,1031,275,348,0,3,1649,164,13,48,0,3,232,401,95,73,6,0,573,27,0,7,0,0,38,51,20,47,28,0,148,24,5,3,0,0,32,1691,412,518,36,13,2673,21,36,5,0,0,63,147,28,51,4,0,229,6176,638,736,92,12,7660
POA4869,1065,5,35,23,3,1134,2416,11,26,4,5,2462,1213,48,123,8,8,1398,227,6,52,0,0,284,330,9,43,3,0,393,13,0,4,0,0,16,91,0,8,12,0,112,22,0,8,0,0,24,1893,67,228,27,6,2227,17,0,0,0,0,20,129,3,14,3,0,149,5524,90,316,55,20,5994
POA4870,4419,351,796,95,29,5692,6258,383,917,9,18,7582,2076,1181,3498,18,36,6804,546,346,496,0,0,1393,1088,430,716,22,18,2276,36,71,46,0,0,160,172,65,91,41,16,391,54,27,45,4,3,130,3973,2115,4897,88,75,11156,87,132,22,7,8,258,408,123,273,38,98,947,15142,3106,6905,245,234,25627
POA4871,1259,4,0,131,17,1418,756,0,0,8,10,779,147,3,3,3,0,163,290,38,39,0,0,367,287,3,3,11,0,312,30,3,0,0,0,35,102,5,0,20,0,131,56,0,0,7,0,65,920,58,45,34,4,1067,39,3,0,5,0,44,107,0,5,67,13,190,3075,66,54,249,48,3497
POA4872,601,4,3,60,3,671,322,0,0,5,5,333,60,0,6,0,0,73,9,0,0,0,0,9,139,0,4,3,0,149,8,0,0,0,0,8,51,0,0,20,3,80,31,0,0,3,0,36,301,0,15,30,3,358,13,0,0,4,0,20,55,0,0,8,0,65,1296,6,21,111,16,1450
POA4873,742,13,4,46,19,823,696,6,7,7,15,726,198,25,75,0,5,298,46,18,15,0,0,78,205,11,12,7,7,238,19,6,16,0,0,36,33,0,3,5,5,47,28,0,7,0,4,40,525,57,121,11,25,746,17,0,0,0,3,16,55,6,10,6,5,83,2038,82,147,70,63,2398
POA4874,70,14,3,18,0,112,277,53,5,6,0,338,139,118,15,3,0,273,259,44,0,0,0,309,31,7,0,3,0,43,13,7,0,0,0,14,180,138,26,4,3,341,10,4,0,6,0,13,626,317,41,12,0,991,8,0,0,3,0,9,19,8,0,11,0,42,997,397,47,52,0,1492
