POA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA4014,0,3,10,23,12,8,5,0,0,69,0,22,36,80,46,19,9,0,0,218,0,0,0,12,0,0,4,0,0,14,0,3,0,12,6,3,7,3,3,32,0,0,0,6,0,0,0,0,0,13,0,3,10,23,13,3,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,10,3,26,5,10,0,0,0,51,3,0,0,9,0,0,0,0,0,12,0,3,5,14,3,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,7,3,4,0,0,34,0,0,0,16,9,7,5,3,0,49,0,0,0,4,4,0,0,0,0,7,0,0,0,10,0,0,0,0,0,10,0,16,18,108,33,17,16,0,3,215,29,52,62,205,87,104,65,55,136,791,828,1449,1354,3853,1525,1278,805,482,337,11913
POA4017,0,9,11,48,39,25,4,7,0,148,5,44,68,196,107,82,22,10,4,537,0,0,0,18,9,9,3,8,3,49,0,5,4,31,43,34,35,24,11,190,0,3,5,6,14,8,0,3,0,35,0,14,18,99,36,24,8,8,0,224,0,0,0,0,3,4,3,3,0,15,0,9,0,20,11,12,6,5,3,72,0,4,0,5,0,0,3,0,0,16,0,14,12,18,6,4,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,10,11,32,16,17,8,0,0,101,0,7,3,26,5,0,0,0,0,46,0,3,3,8,17,7,10,5,3,62,0,3,9,25,13,3,3,0,0,53,6,33,64,238,131,68,68,34,12,650,85,175,200,444,301,219,185,155,79,1843,2266,4898,4183,9672,5569,4469,3297,1715,803,36869
POA4018,0,3,13,24,19,14,6,0,0,79,12,59,67,224,91,58,22,4,0,544,0,0,0,6,3,3,0,3,0,22,0,0,0,11,7,19,9,9,11,60,0,0,0,15,0,3,0,0,0,19,0,9,21,36,24,15,4,3,4,116,0,0,0,0,0,0,0,0,0,6,0,14,0,39,11,4,8,5,3,79,0,3,3,14,3,0,0,0,0,25,0,3,3,17,6,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3,6,8,4,0,0,0,0,23,0,8,6,18,7,3,3,0,0,47,0,0,4,15,4,3,0,0,0,29,0,0,0,0,3,0,5,4,0,14,0,4,7,23,3,4,0,0,0,42,4,26,40,175,63,45,28,11,8,397,44,51,56,205,74,48,52,36,18,589,947,1266,1359,4095,1390,1144,884,706,361,12153
POA4019,0,5,6,31,19,19,0,0,0,84,0,16,7,57,39,15,21,0,0,160,0,0,0,0,0,4,4,0,5,18,0,5,5,16,18,29,53,25,10,162,0,0,0,3,0,3,4,0,0,10,0,3,8,32,32,18,6,3,0,103,0,0,0,0,0,0,0,0,0,4,3,0,0,11,0,5,3,3,3,25,0,0,4,8,0,0,0,0,0,13,0,9,0,21,14,7,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,0,3,6,21,5,14,8,0,0,64,0,3,0,5,9,0,0,0,0,21,0,0,4,10,3,5,3,3,0,22,0,0,0,3,8,11,0,0,0,25,3,12,14,82,61,48,51,34,7,325,61,95,108,282,221,177,167,99,50,1258,1073,2312,1956,4792,3091,2843,2353,1196,498,20106
POA4020,0,0,3,17,20,13,8,0,0,73,4,3,19,48,31,42,5,7,0,157,0,0,0,7,4,10,9,0,3,34,0,5,3,12,39,29,56,31,10,184,0,0,0,3,11,4,0,0,0,28,0,10,29,42,55,31,41,3,3,219,0,0,0,4,3,5,9,0,0,21,0,0,3,8,0,11,12,3,0,35,0,0,0,3,0,3,0,0,0,5,0,0,3,19,9,9,3,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,6,21,16,15,22,10,0,89,0,0,4,11,3,3,3,0,0,36,0,0,3,9,7,15,17,9,3,64,0,0,4,3,8,3,3,0,0,22,5,29,33,117,97,68,75,50,19,490,63,123,102,359,230,254,287,192,108,1717,886,2247,2188,4361,3314,3411,3157,1748,733,22043
POA4021,0,0,0,16,4,9,6,0,0,37,6,12,8,54,21,15,5,0,0,120,0,0,0,4,3,0,0,0,0,9,0,0,6,8,9,15,17,16,3,65,0,0,0,0,0,0,0,0,0,5,0,3,6,16,14,5,11,3,0,59,0,0,0,0,0,0,0,0,0,3,0,6,5,3,8,4,7,0,0,37,0,0,0,4,3,0,0,0,0,12,0,0,0,5,3,3,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,13,0,0,0,4,7,3,3,3,0,19,0,3,0,3,5,0,4,7,0,19,0,0,0,3,0,0,3,0,0,8,0,9,15,54,30,19,11,19,8,164,21,53,47,135,58,67,100,85,98,662,593,1290,1165,2375,1167,1178,1099,612,310,9790
POA4022,0,0,0,7,3,3,0,0,0,14,3,4,3,21,11,9,4,0,0,64,0,0,0,0,0,0,0,0,4,3,0,0,0,6,0,12,15,18,4,54,0,0,0,0,3,0,3,0,0,6,0,9,7,22,12,4,3,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,0,0,18,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,3,3,6,0,0,30,0,0,3,0,0,3,0,0,0,14,0,0,0,0,0,3,0,3,3,12,0,0,3,6,6,3,4,0,0,24,0,9,17,35,26,23,17,7,11,145,28,45,55,92,59,45,54,37,61,473,436,964,934,1516,853,688,756,624,394,7165
POA4025,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,10,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,39,13,10,7,0,0,92,5,10,50,149,49,48,32,11,0,368
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,16,8,0,7,3,8,65,10,0,18,23,7,3,7,3,9,81
POA4030,0,0,11,25,12,10,5,0,0,71,0,14,16,72,16,23,3,0,0,147,0,0,0,16,8,0,4,4,3,31,0,0,8,27,16,20,8,6,3,84,5,3,12,12,3,0,0,0,0,43,0,3,19,60,19,11,9,0,0,117,0,0,0,0,5,0,0,0,0,10,0,7,3,37,4,3,3,0,0,58,3,0,9,40,4,3,0,0,0,57,0,14,10,50,3,4,0,0,0,86,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,9,13,32,12,9,8,0,0,79,0,0,0,17,3,10,9,0,0,39,0,3,3,9,4,0,0,0,0,21,0,0,3,7,4,3,0,0,0,18,9,14,56,250,50,33,16,11,3,447,43,51,159,380,112,102,47,52,42,992,944,1627,2605,6417,2107,1403,809,380,240,16530
POA4031,0,3,12,24,12,11,3,0,0,60,0,6,13,61,20,22,8,0,0,132,0,0,0,10,0,0,4,3,0,23,0,0,3,16,6,5,8,5,0,49,0,0,0,12,5,0,0,3,0,22,0,0,13,40,12,8,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,8,5,22,7,7,4,0,5,60,0,3,3,12,3,0,0,0,0,24,0,10,8,15,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,11,10,22,16,3,5,0,0,67,0,3,3,11,0,3,0,0,0,23,0,0,0,4,0,4,0,0,0,13,0,3,5,7,0,3,0,0,0,18,3,15,27,144,36,28,18,6,4,284,37,57,118,306,91,65,42,34,18,772,902,1666,1792,4813,1877,1209,657,408,263,13588
POA4032,0,0,12,27,12,18,13,11,0,87,3,25,65,140,87,40,12,4,0,388,0,0,0,6,0,3,0,0,3,12,0,0,3,8,17,9,12,13,7,63,0,0,6,14,8,10,0,0,0,41,0,0,12,16,14,3,3,0,0,50,0,0,0,0,5,3,0,0,0,16,0,0,8,18,3,10,4,0,0,38,0,0,0,33,0,5,3,0,0,49,0,16,18,33,6,0,3,0,0,81,0,0,0,0,0,6,0,0,0,8,0,0,0,10,0,4,0,0,0,12,0,9,6,27,8,10,0,0,0,50,0,0,0,22,4,9,5,0,0,41,0,0,0,4,0,3,3,0,0,7,0,0,6,9,3,3,0,0,0,23,9,20,68,226,55,52,24,19,11,472,46,63,101,304,100,87,72,146,296,1215,873,1462,2071,5006,1758,1516,1200,1141,743,15777
POA4034,0,18,76,76,66,30,22,14,0,305,6,56,82,316,157,105,37,9,0,767,0,0,0,18,3,13,7,9,7,63,0,6,7,40,19,32,42,27,9,188,0,9,16,23,12,6,9,3,0,77,3,20,54,117,56,37,27,11,5,336,0,0,0,0,3,13,4,0,4,27,0,16,8,80,30,23,21,11,6,193,0,9,9,65,8,12,3,0,0,110,3,26,28,55,24,13,7,0,0,148,0,0,0,3,5,0,0,0,0,12,0,0,0,4,0,0,0,0,0,4,4,20,15,45,19,16,13,5,3,147,0,5,5,42,21,30,8,0,0,113,0,0,0,14,8,7,11,5,3,43,0,3,12,30,22,8,3,0,0,76,6,55,85,441,203,144,97,57,22,1108,110,174,226,636,254,270,217,185,166,2244,2797,4986,5458,12759,5467,4906,3996,2726,1364,44463
POA4035,0,3,5,26,28,14,9,3,0,91,0,14,16,53,36,21,14,4,0,155,0,0,0,8,11,15,10,0,0,48,0,10,3,27,15,38,38,20,0,150,0,5,4,11,4,6,3,8,0,39,0,51,78,142,107,56,27,7,3,482,0,0,0,3,3,3,4,0,0,11,0,3,3,8,9,13,10,6,3,44,0,6,0,20,5,8,7,0,0,37,0,10,4,22,8,4,4,0,0,48,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,5,4,15,20,26,15,12,13,0,0,109,0,0,0,9,21,12,10,0,0,55,0,12,5,4,12,10,3,0,0,42,0,0,7,13,18,24,0,3,0,72,3,37,31,122,74,66,34,28,10,393,27,87,70,178,136,125,92,87,71,873,1229,3573,3332,5342,3954,3102,2133,1068,468,24209
